id_virtual,lsm_liwc
00-1751_REHN_vs_FREN,0.87
00-1751_REHN_vs_SOUT,0.8
00-1751_REHN_vs_SCAL,0.84
00-1751_REHN_vs_KENN,0.88
00-1751_REHN_vs_STEV,0.89
00-1751_REHN_vs_GINS,0.84
00-1751_REHN_vs_CONN,0.86
00-1751_REHN_vs_YOUN,0.89
00-1751_REHN_vs_BREY,0.84
00-1751_REHN_vs_OLSO,0.82
00-1751_REHN_vs_CHAN,0.86
00-1751_REHN_vs_FRAN,0.89
00-1751_FREN_vs_SOUT,0.88
00-1751_FREN_vs_SCAL,0.88
00-1751_FREN_vs_KENN,0.88
00-1751_FREN_vs_STEV,0.93
00-1751_FREN_vs_GINS,0.91
00-1751_FREN_vs_CONN,0.9
00-1751_FREN_vs_YOUN,0.94
00-1751_FREN_vs_BREY,0.83
00-1751_FREN_vs_OLSO,0.92
00-1751_FREN_vs_CHAN,0.89
00-1751_FREN_vs_FRAN,0.89
00-1751_SOUT_vs_SCAL,0.9
00-1751_SOUT_vs_KENN,0.85
00-1751_SOUT_vs_STEV,0.89
00-1751_SOUT_vs_GINS,0.92
00-1751_SOUT_vs_CONN,0.89
00-1751_SOUT_vs_YOUN,0.85
00-1751_SOUT_vs_BREY,0.89
00-1751_SOUT_vs_OLSO,0.85
00-1751_SOUT_vs_CHAN,0.9
00-1751_SOUT_vs_FRAN,0.89
00-1751_SCAL_vs_KENN,0.89
00-1751_SCAL_vs_STEV,0.86
00-1751_SCAL_vs_GINS,0.94
00-1751_SCAL_vs_CONN,0.89
00-1751_SCAL_vs_YOUN,0.85
00-1751_SCAL_vs_BREY,0.87
00-1751_SCAL_vs_OLSO,0.84
00-1751_SCAL_vs_CHAN,0.91
00-1751_SCAL_vs_FRAN,0.88
00-1751_KENN_vs_STEV,0.84
00-1751_KENN_vs_GINS,0.88
00-1751_KENN_vs_CONN,0.87
00-1751_KENN_vs_YOUN,0.85
00-1751_KENN_vs_BREY,0.85
00-1751_KENN_vs_OLSO,0.86
00-1751_KENN_vs_CHAN,0.93
00-1751_KENN_vs_FRAN,0.91
00-1751_STEV_vs_GINS,0.9
00-1751_STEV_vs_CONN,0.92
00-1751_STEV_vs_YOUN,0.93
00-1751_STEV_vs_BREY,0.86
00-1751_STEV_vs_OLSO,0.88
00-1751_STEV_vs_CHAN,0.87
00-1751_STEV_vs_FRAN,0.88
00-1751_GINS_vs_CONN,0.92
00-1751_GINS_vs_YOUN,0.87
00-1751_GINS_vs_BREY,0.89
00-1751_GINS_vs_OLSO,0.88
00-1751_GINS_vs_CHAN,0.92
00-1751_GINS_vs_FRAN,0.87
00-1751_CONN_vs_YOUN,0.9
00-1751_CONN_vs_BREY,0.87
00-1751_CONN_vs_OLSO,0.87
00-1751_CONN_vs_CHAN,0.94
00-1751_CONN_vs_FRAN,0.87
00-1751_YOUN_vs_BREY,0.81
00-1751_YOUN_vs_OLSO,0.87
00-1751_YOUN_vs_CHAN,0.87
00-1751_YOUN_vs_FRAN,0.88
00-1751_BREY_vs_OLSO,0.8
00-1751_BREY_vs_CHAN,0.88
00-1751_BREY_vs_FRAN,0.87
00-1751_OLSO_vs_CHAN,0.88
00-1751_OLSO_vs_FRAN,0.86
00-1751_CHAN_vs_FRAN,0.9
00-1519_REHN_vs_SCHL,0.86
00-1519_REHN_vs_GINS,0.83
00-1519_REHN_vs_SCAL,0.89
00-1519_REHN_vs_STEV,0.91
00-1519_REHN_vs_BRAM,0.91
00-1519_REHN_vs_BREY,0.94
00-1519_SCHL_vs_GINS,0.8
00-1519_SCHL_vs_SCAL,0.83
00-1519_SCHL_vs_STEV,0.86
00-1519_SCHL_vs_BRAM,0.89
00-1519_SCHL_vs_BREY,0.83
00-1519_GINS_vs_SCAL,0.89
00-1519_GINS_vs_STEV,0.88
00-1519_GINS_vs_BRAM,0.85
00-1519_GINS_vs_BREY,0.84
00-1519_SCAL_vs_STEV,0.93
00-1519_SCAL_vs_BRAM,0.88
00-1519_SCAL_vs_BREY,0.94
00-1519_STEV_vs_BRAM,0.9
00-1519_STEV_vs_BREY,0.92
00-1519_BRAM_vs_BREY,0.88
00-832_REHN_vs_FELD,0.54
00-832_REHN_vs_SCAL,0.55
00-832_REHN_vs_SOUT,0.56
00-832_REHN_vs_GINS,0.54
00-832_REHN_vs_KENN,0.6
00-832_REHN_vs_KEIS,0.54
00-832_REHN_vs_STEI,0.56
00-832_REHN_vs_STEV,0.57
00-832_REHN_vs_BREY,0.59
00-832_FELD_vs_SCAL,0.89
00-832_FELD_vs_SOUT,0.88
00-832_FELD_vs_GINS,0.85
00-832_FELD_vs_KENN,0.88
00-832_FELD_vs_KEIS,0.96
00-832_FELD_vs_STEI,0.89
00-832_FELD_vs_STEV,0.87
00-832_FELD_vs_BREY,0.85
00-832_SCAL_vs_SOUT,0.93
00-832_SCAL_vs_GINS,0.87
00-832_SCAL_vs_KENN,0.91
00-832_SCAL_vs_KEIS,0.87
00-832_SCAL_vs_STEI,0.87
00-832_SCAL_vs_STEV,0.92
00-832_SCAL_vs_BREY,0.91
00-832_SOUT_vs_GINS,0.87
00-832_SOUT_vs_KENN,0.92
00-832_SOUT_vs_KEIS,0.87
00-832_SOUT_vs_STEI,0.82
00-832_SOUT_vs_STEV,0.87
00-832_SOUT_vs_BREY,0.88
00-832_GINS_vs_KENN,0.82
00-832_GINS_vs_KEIS,0.83
00-832_GINS_vs_STEI,0.89
00-832_GINS_vs_STEV,0.86
00-832_GINS_vs_BREY,0.83
00-832_KENN_vs_KEIS,0.87
00-832_KENN_vs_STEI,0.83
