archivo,lsm_liwc
sw2007-ms98-a.phrases,0.9
sw2018-ms98-a.phrases,0.92
sw2032-ms98-a.phrases,0.82
sw2040-ms98-a.phrases,0.9
sw2056-ms98-a.phrases,0.85
sw2079-ms98-a.phrases,0.88
sw2095-ms98-a.phrases,0.87
sw2118-ms98-a.phrases,0.91
sw2122-ms98-a.phrases,0.81
sw2130-ms98-a.phrases,0.88
sw2131-ms98-a.phrases,0.74
sw2136-ms98-a.phrases,0.85
sw2153-ms98-a.phrases,0.89
sw2155-ms98-a.phrases,0.93
sw2174-ms98-a.phrases,0.83
sw2185-ms98-a.phrases,0.9
sw2187-ms98-a.phrases,0.87
sw2206-ms98-a.phrases,0.9
sw2224-ms98-a.phrases,0.92
sw2231-ms98-a.phrases,0.85
sw2249-ms98-a.phrases,0.9
sw2260-ms98-a.phrases,0.93
sw2267-ms98-a.phrases,0.86
sw2309-ms98-a.phrases,0.93
sw2312-ms98-a.phrases,0.93
sw2319-ms98-a.phrases,0.89
sw2332-ms98-a.phrases,0.89
sw2335-ms98-a.phrases,0.88
sw2347-ms98-a.phrases,0.88
sw2366-ms98-a.phrases,0.94
sw2417-ms98-a.phrases,0.88
sw2418-ms98-a.phrases,0.93
sw2427-ms98-a.phrases,0.85
sw2444-ms98-a.phrases,0.94
sw2445-ms98-a.phrases,0.88
sw2450-ms98-a.phrases,0.85
sw2459-ms98-a.phrases,0.96
sw2474-ms98-a.phrases,0.89
sw2487-ms98-a.phrases,0.9
sw2491-ms98-a.phrases,0.94
sw2502-ms98-a.phrases,0.9
sw2507-ms98-a.phrases,0.9
sw2514-ms98-a.phrases,0.91
sw2522-ms98-a.phrases,0.82
sw2531-ms98-a.phrases,0.86
sw2533-ms98-a.phrases,0.96
sw2534-ms98-a.phrases,0.92
sw2535-ms98-a.phrases,0.84
sw2536-ms98-a.phrases,0.89
sw2557-ms98-a.phrases,0.92
sw2580-ms98-a.phrases,0.85
sw2582-ms98-a.phrases,0.93
sw2587-ms98-a.phrases,0.94
sw2605-ms98-a.phrases,0.89
sw2619-ms98-a.phrases,0.86
sw2658-ms98-a.phrases,0.91
sw2672-ms98-a.phrases,0.89
sw2674-ms98-a.phrases,0.92
sw2713-ms98-a.phrases,0.9
sw2714-ms98-a.phrases,0.93
sw2726-ms98-a.phrases,0.95
sw2733-ms98-a.phrases,0.86
sw2735-ms98-a.phrases,0.88
sw2753-ms98-a.phrases,0.85
sw2771-ms98-a.phrases,0.88
sw2785-ms98-a.phrases,0.91
sw2800-ms98-a.phrases,0.82
sw2814-ms98-a.phrases,0.94
sw2816-ms98-a.phrases,0.91
sw2818-ms98-a.phrases,0.92
sw2830-ms98-a.phrases,0.92
sw2834-ms98-a.phrases,0.89
sw2835-ms98-a.phrases,0.9
sw2837-ms98-a.phrases,0.92
sw2838-ms98-a.phrases,0.86
sw2860-ms98-a.phrases,0.92
sw2913-ms98-a.phrases,0.9
sw2935-ms98-a.phrases,0.87
sw2940-ms98-a.phrases,0.85
sw2958-ms98-a.phrases,0.84
sw2966-ms98-a.phrases,0.88
sw2969-ms98-a.phrases,0.88
sw2990-ms98-a.phrases,0.88
sw3000-ms98-a.phrases,0.89
sw3002-ms98-a.phrases,0.82
sw3006-ms98-a.phrases,0.94
sw3008-ms98-a.phrases,0.87
sw3013-ms98-a.phrases,0.91
sw3014-ms98-a.phrases,0.9
sw3016-ms98-a.phrases,0.85
sw3020-ms98-a.phrases,0.86
sw3043-ms98-a.phrases,0.89
sw3049-ms98-a.phrases,0.92
sw3065-ms98-a.phrases,0.86
sw3072-ms98-a.phrases,0.9
sw3078-ms98-a.phrases,0.84
sw3079-ms98-a.phrases,0.82
sw3085-ms98-a.phrases,0.89
sw3091-ms98-a.phrases,0.89
sw3099-ms98-a.phrases,0.87
sw3125-ms98-a.phrases,0.89
sw3152-ms98-a.phrases,0.89
sw3153-ms98-a.phrases,0.91
sw3197-ms98-a.phrases,0.87
sw3198-ms98-a.phrases,0.93
sw3199-ms98-a.phrases,0.45
sw3200-ms98-a.phrases,0.83
