archivo,lsm_spacy,lsm_liwc,grupo
00-832_REHN_vs_FELD,0.6151352296974456,0.54,SCOTUS
00-832_REHN_vs_SCAL,0.6334932504580152,0.55,SCOTUS
00-832_REHN_vs_SOUT,0.6703012200798751,0.56,SCOTUS
00-832_REHN_vs_GINS,0.5732579889260345,0.54,SCOTUS
00-832_REHN_vs_KENN,0.5072778167516757,0.6,SCOTUS
00-832_REHN_vs_KEIS,0.6072610388445722,0.54,SCOTUS
00-832_REHN_vs_STEI,0.5901774273541565,0.56,SCOTUS
00-832_REHN_vs_STEV,0.6205648266942287,0.57,SCOTUS
00-832_REHN_vs_BREY,0.6760484929964183,0.59,SCOTUS
00-832_FELD_vs_SCAL,0.8992961102530416,0.89,SCOTUS
00-832_FELD_vs_SOUT,0.9152866103609216,0.88,SCOTUS
00-832_FELD_vs_GINS,0.8335889430350295,0.85,SCOTUS
00-832_FELD_vs_KENN,0.773289482260364,0.88,SCOTUS
00-832_FELD_vs_KEIS,0.9242005010496931,0.96,SCOTUS
00-832_FELD_vs_STEI,0.9276349487320739,0.89,SCOTUS
00-832_FELD_vs_STEV,0.8421718717064701,0.87,SCOTUS
00-832_FELD_vs_BREY,0.9030236029820039,0.85,SCOTUS
00-832_SCAL_vs_SOUT,0.9129408037015342,0.93,SCOTUS
00-832_SCAL_vs_GINS,0.8400953028772287,0.87,SCOTUS
00-832_SCAL_vs_KENN,0.7914246248624304,0.91,SCOTUS
00-832_SCAL_vs_KEIS,0.8574930694156084,0.87,SCOTUS
00-832_SCAL_vs_STEI,0.861054732543946,0.87,SCOTUS
00-832_SCAL_vs_STEV,0.8466811573572912,0.92,SCOTUS
00-832_SCAL_vs_BREY,0.8942559262509687,0.91,SCOTUS
00-832_SOUT_vs_GINS,0.8046406098527967,0.87,SCOTUS
00-832_SOUT_vs_KENN,0.7803680971057864,0.92,SCOTUS
00-832_SOUT_vs_KEIS,0.8511629430239063,0.87,SCOTUS
00-832_SOUT_vs_STEI,0.8675543631083996,0.82,SCOTUS
00-832_SOUT_vs_STEV,0.8291215513158435,0.87,SCOTUS
00-832_SOUT_vs_BREY,0.9341159510483327,0.88,SCOTUS
00-832_GINS_vs_KENN,0.735555683195337,0.82,SCOTUS
00-832_GINS_vs_KEIS,0.8452429223491332,0.83,SCOTUS
00-832_GINS_vs_STEI,0.8509116157986761,0.89,SCOTUS
00-832_GINS_vs_STEV,0.7788825176614044,0.86,SCOTUS
00-832_GINS_vs_BREY,0.7863445576710523,0.83,SCOTUS
00-832_KENN_vs_KEIS,0.7508967423159251,0.87,SCOTUS
00-832_KENN_vs_STEI,0.7652425584213551,0.83,SCOTUS
00-832_KENN_vs_STEV,0.8137096361196515,0.87,SCOTUS
00-832_KENN_vs_BREY,0.7727905210576473,0.88,SCOTUS
00-832_KEIS_vs_STEI,0.9204695322639846,0.89,SCOTUS
00-832_KEIS_vs_STEV,0.8212074802667653,0.85,SCOTUS
00-832_KEIS_vs_BREY,0.8406241103822442,0.84,SCOTUS
00-832_STEI_vs_STEV,0.8296708189051719,0.87,SCOTUS
00-832_STEI_vs_BREY,0.8573423371004313,0.87,SCOTUS
00-832_STEV_vs_BREY,0.8607715712686611,0.9,SCOTUS
00-1751_REHN_vs_FREN,0.7856280392687881,0.87,SCOTUS
00-1751_REHN_vs_SOUT,0.7369086311669856,0.8,SCOTUS
00-1751_REHN_vs_SCAL,0.8445196724896097,0.84,SCOTUS
00-1751_REHN_vs_KENN,0.8509594692093072,0.88,SCOTUS
00-1751_REHN_vs_STEV,0.8375850000027578,0.89,SCOTUS
00-1751_REHN_vs_GINS,0.7839414828000573,0.84,SCOTUS
00-1751_REHN_vs_CONN,0.8599950044973775,0.86,SCOTUS
00-1751_REHN_vs_YOUN,0.8353563946252628,0.89,SCOTUS
00-1751_REHN_vs_BREY,0.7913757897048896,0.84,SCOTUS
00-1751_REHN_vs_OLSO,0.7523832677265399,0.82,SCOTUS
00-1751_REHN_vs_CHAN,0.8720699299932305,0.86,SCOTUS
00-1751_REHN_vs_FRAN,0.842688991375975,0.89,SCOTUS
00-1751_FREN_vs_SOUT,0.9108704209802941,0.88,SCOTUS
00-1751_FREN_vs_SCAL,0.8515795259012193,0.88,SCOTUS
00-1751_FREN_vs_KENN,0.8757518724876271,0.88,SCOTUS
00-1751_FREN_vs_STEV,0.8941860964136655,0.93,SCOTUS
00-1751_FREN_vs_GINS,0.9153157615719003,0.91,SCOTUS
00-1751_FREN_vs_CONN,0.8721546987640858,0.9,SCOTUS
00-1751_FREN_vs_YOUN,0.9085722115135625,0.94,SCOTUS
00-1751_FREN_vs_BREY,0.839634061514636,0.83,SCOTUS
00-1751_FREN_vs_OLSO,0.9261587579780354,0.92,SCOTUS
00-1751_FREN_vs_CHAN,0.8809491250683453,0.89,SCOTUS
00-1751_FREN_vs_FRAN,0.8974384043221374,0.89,SCOTUS
00-1751_SOUT_vs_SCAL,0.8343069787677145,0.9,SCOTUS
00-1751_SOUT_vs_KENN,0.824907451690346,0.85,SCOTUS
00-1751_SOUT_vs_STEV,0.8431223241114739,0.89,SCOTUS
00-1751_SOUT_vs_GINS,0.845039393996555,0.92,SCOTUS
00-1751_SOUT_vs_CONN,0.8191460626175617,0.89,SCOTUS
00-1751_SOUT_vs_YOUN,0.8348209287078537,0.85,SCOTUS
00-1751_SOUT_vs_BREY,0.8473825026067816,0.89,SCOTUS
00-1751_SOUT_vs_OLSO,0.852132458769051,0.85,SCOTUS
00-1751_SOUT_vs_CHAN,0.8437468090078959,0.9,SCOTUS
00-1751_SOUT_vs_FRAN,0.8866303218678693,0.89,SCOTUS
00-1751_SCAL_vs_KENN,0.8782347295033038,0.89,SCOTUS
00-1751_SCAL_vs_STEV,0.8397515416643907,0.86,SCOTUS
00-1751_SCAL_vs_GINS,0.876556058012795,0.94,SCOTUS
00-1751_SCAL_vs_CONN,0.8911140545343128,0.89,SCOTUS
00-1751_SCAL_vs_YOUN,0.7991208971737879,0.85,SCOTUS
00-1751_SCAL_vs_BREY,0.8788276431968106,0.87,SCOTUS
00-1751_SCAL_vs_OLSO,0.817689209394173,0.84,SCOTUS
00-1751_SCAL_vs_CHAN,0.8834400005397789,0.91,SCOTUS
00-1751_SCAL_vs_FRAN,0.8554559029642024,0.88,SCOTUS
00-1751_KENN_vs_STEV,0.8132508119204945,0.84,SCOTUS
00-1751_KENN_vs_GINS,0.8769846598806644,0.88,SCOTUS
00-1751_KENN_vs_CONN,0.8594344905937106,0.87,SCOTUS
00-1751_KENN_vs_YOUN,0.8274866698597938,0.85,SCOTUS
00-1751_KENN_vs_BREY,0.8428576208517727,0.85,SCOTUS
00-1751_KENN_vs_OLSO,0.852074325013607,0.86,SCOTUS
00-1751_KENN_vs_CHAN,0.8898036945424038,0.93,SCOTUS
00-1751_KENN_vs_FRAN,0.8937815689005565,0.91,SCOTUS
00-1751_STEV_vs_GINS,0.8406826538474244,0.9,SCOTUS
00-1751_STEV_vs_CONN,0.8988807420486788,0.92,SCOTUS
00-1751_STEV_vs_YOUN,0.8865624763202019,0.93,SCOTUS
00-1751_STEV_vs_BREY,0.8489336090037061,0.86,SCOTUS
