archivo,lsm_spacy,lsm_liwc,grupo
sw2007-ms98-a.phrases,0.9387091847532231,0.9,SW_PROCESSED
sw2018-ms98-a.phrases,0.8459155640343818,0.92,SW_PROCESSED
sw2032-ms98-a.phrases,0.7681204565199726,0.82,SW_PROCESSED
sw2040-ms98-a.phrases,0.8824092030389945,0.9,SW_PROCESSED
sw2056-ms98-a.phrases,0.8805428181688021,0.85,SW_PROCESSED
sw2079-ms98-a.phrases,0.7900194280085245,0.88,SW_PROCESSED
sw2095-ms98-a.phrases,0.8536797921618753,0.87,SW_PROCESSED
sw2118-ms98-a.phrases,0.7810737111578597,0.91,SW_PROCESSED
sw2122-ms98-a.phrases,0.7325364816446844,0.81,SW_PROCESSED
sw2130-ms98-a.phrases,0.8809946202397361,0.88,SW_PROCESSED
sw2131-ms98-a.phrases,0.7390891548115476,0.74,SW_PROCESSED
sw2136-ms98-a.phrases,0.8744925470401134,0.85,SW_PROCESSED
sw2153-ms98-a.phrases,0.8192714401470992,0.89,SW_PROCESSED
sw2155-ms98-a.phrases,0.8736447235262751,0.93,SW_PROCESSED
sw2174-ms98-a.phrases,0.849508501586336,0.83,SW_PROCESSED
sw2185-ms98-a.phrases,0.9167797193070842,0.9,SW_PROCESSED
sw2187-ms98-a.phrases,0.7563777353160271,0.87,SW_PROCESSED
sw2206-ms98-a.phrases,0.8694490571888592,0.9,SW_PROCESSED
sw2224-ms98-a.phrases,0.9172056403939276,0.92,SW_PROCESSED
sw2231-ms98-a.phrases,0.7727140097697608,0.85,SW_PROCESSED
sw2249-ms98-a.phrases,0.8818557605574849,0.9,SW_PROCESSED
sw2260-ms98-a.phrases,0.9031482629647838,0.93,SW_PROCESSED
sw2267-ms98-a.phrases,0.8473526906722543,0.86,SW_PROCESSED
sw2309-ms98-a.phrases,0.8731420442408654,0.93,SW_PROCESSED
sw2312-ms98-a.phrases,0.9144767239225299,0.93,SW_PROCESSED
sw2319-ms98-a.phrases,0.8937351127241382,0.89,SW_PROCESSED
sw2332-ms98-a.phrases,0.8544937175279195,0.89,SW_PROCESSED
sw2335-ms98-a.phrases,0.8155451466214234,0.88,SW_PROCESSED
sw2347-ms98-a.phrases,0.8319424569249857,0.88,SW_PROCESSED
sw2366-ms98-a.phrases,0.8727428601363972,0.94,SW_PROCESSED
sw2417-ms98-a.phrases,0.8757384093889133,0.88,SW_PROCESSED
sw2418-ms98-a.phrases,0.8753243543339918,0.93,SW_PROCESSED
sw2427-ms98-a.phrases,0.8687193837264984,0.85,SW_PROCESSED
sw2444-ms98-a.phrases,0.8483767001289338,0.94,SW_PROCESSED
sw2445-ms98-a.phrases,0.9279234891317162,0.88,SW_PROCESSED
sw2450-ms98-a.phrases,0.920588237250867,0.85,SW_PROCESSED
sw2459-ms98-a.phrases,0.9203588611805799,0.96,SW_PROCESSED
sw2474-ms98-a.phrases,0.8102027674106841,0.89,SW_PROCESSED
sw2487-ms98-a.phrases,0.8774228619994082,0.9,SW_PROCESSED
sw2491-ms98-a.phrases,0.9037945783742268,0.94,SW_PROCESSED
sw2502-ms98-a.phrases,0.8630376332112883,0.9,SW_PROCESSED
sw2507-ms98-a.phrases,0.8409015010132634,0.9,SW_PROCESSED
sw2514-ms98-a.phrases,0.8834500564459166,0.91,SW_PROCESSED
sw2522-ms98-a.phrases,0.8406707631829535,0.82,SW_PROCESSED
sw2531-ms98-a.phrases,0.8506375555379316,0.86,SW_PROCESSED
sw2533-ms98-a.phrases,0.9149924467239712,0.96,SW_PROCESSED
sw2534-ms98-a.phrases,0.8784826606281797,0.92,SW_PROCESSED
sw2535-ms98-a.phrases,0.8773569843297965,0.84,SW_PROCESSED
sw2536-ms98-a.phrases,0.9004426346856856,0.89,SW_PROCESSED
