id_virtual,lsm_model,grupo,lsm_liwc
00-1751_REHN_vs_FREN,0.8435057639137093,SCOTUS,0.87
00-1751_REHN_vs_SOUT,0.7763039886482134,SCOTUS,0.8
00-1751_REHN_vs_SCAL,0.8188428436868436,SCOTUS,0.84
00-1751_REHN_vs_KENN,0.8796172361532866,SCOTUS,0.88
00-1751_REHN_vs_STEV,0.8582497807659215,SCOTUS,0.89
00-1751_REHN_vs_GINS,0.8274426077031505,SCOTUS,0.84
00-1751_REHN_vs_CONN,0.8632217686321437,SCOTUS,0.86
00-1751_REHN_vs_YOUN,0.865659199698429,SCOTUS,0.89
00-1751_REHN_vs_BREY,0.8525096957921188,SCOTUS,0.84
00-1751_REHN_vs_OLSO,0.7958781416308225,SCOTUS,0.82
00-1751_REHN_vs_CHAN,0.8874733461998399,SCOTUS,0.86
00-1751_REHN_vs_FRAN,0.9019029877135274,SCOTUS,0.89
00-1751_FREN_vs_SOUT,0.873788203400496,SCOTUS,0.88
00-1751_FREN_vs_SCAL,0.8650589088838817,SCOTUS,0.88
00-1751_FREN_vs_KENN,0.8670386589456551,SCOTUS,0.88
00-1751_FREN_vs_STEV,0.9136121799165239,SCOTUS,0.93
00-1751_FREN_vs_GINS,0.9079383582285699,SCOTUS,0.91
00-1751_FREN_vs_CONN,0.8720632647742913,SCOTUS,0.9
00-1751_FREN_vs_YOUN,0.9139496331421332,SCOTUS,0.94
00-1751_FREN_vs_BREY,0.8410411386066641,SCOTUS,0.83
00-1751_FREN_vs_OLSO,0.9185519384977111,SCOTUS,0.92
00-1751_FREN_vs_CHAN,0.8693908720156782,SCOTUS,0.89
00-1751_FREN_vs_FRAN,0.8728805640041577,SCOTUS,0.89
00-1751_SOUT_vs_SCAL,0.911185624117814,SCOTUS,0.9
00-1751_SOUT_vs_KENN,0.8495088817955581,SCOTUS,0.85
00-1751_SOUT_vs_STEV,0.8786297128588885,SCOTUS,0.89
00-1751_SOUT_vs_GINS,0.9154047328043061,SCOTUS,0.92
00-1751_SOUT_vs_CONN,0.9019409879891953,SCOTUS,0.89
00-1751_SOUT_vs_YOUN,0.8331437217214199,SCOTUS,0.85
00-1751_SOUT_vs_BREY,0.8871352845601634,SCOTUS,0.89
00-1751_SOUT_vs_OLSO,0.8595166495538753,SCOTUS,0.85
00-1751_SOUT_vs_CHAN,0.8837999325445238,SCOTUS,0.9
00-1751_SOUT_vs_FRAN,0.8586676711109971,SCOTUS,0.89
00-1751_SCAL_vs_KENN,0.8443698251755343,SCOTUS,0.89
00-1751_SCAL_vs_STEV,0.8490322588478729,SCOTUS,0.86
00-1751_SCAL_vs_GINS,0.9287469321616095,SCOTUS,0.94
00-1751_SCAL_vs_CONN,0.9038155967001493,SCOTUS,0.89
00-1751_SCAL_vs_YOUN,0.8391779489212984,SCOTUS,0.85
00-1751_SCAL_vs_BREY,0.9154290911341452,SCOTUS,0.87
00-1751_SCAL_vs_OLSO,0.8564802582251964,SCOTUS,0.84
00-1751_SCAL_vs_CHAN,0.9018655636964656,SCOTUS,0.91
00-1751_SCAL_vs_FRAN,0.8786846570050815,SCOTUS,0.88
