id_virtual,lsm_model,grupo,lsm_liwc
00-1751_REHN_vs_FREN,0.8417517942745439,SCOTUS,0.87
00-1751_REHN_vs_SOUT,0.7739351389949335,SCOTUS,0.8
00-1751_REHN_vs_SCAL,0.8249346523574396,SCOTUS,0.84
00-1751_REHN_vs_KENN,0.874010377536002,SCOTUS,0.88
00-1751_REHN_vs_STEV,0.844782270175128,SCOTUS,0.89
00-1751_REHN_vs_GINS,0.8308332546851607,SCOTUS,0.84
00-1751_REHN_vs_CONN,0.8739184678767373,SCOTUS,0.86
00-1751_REHN_vs_YOUN,0.8197870985444492,SCOTUS,0.89
00-1751_REHN_vs_BREY,0.8489980943833741,SCOTUS,0.84
00-1751_REHN_vs_OLSO,0.7822332149048092,SCOTUS,0.82
00-1751_REHN_vs_CHAN,0.9069438959370124,SCOTUS,0.86
00-1751_REHN_vs_FRAN,0.9061211836731791,SCOTUS,0.89
00-1751_FREN_vs_SOUT,0.8651904203948408,SCOTUS,0.88
00-1751_FREN_vs_SCAL,0.8539246282504122,SCOTUS,0.88
00-1751_FREN_vs_KENN,0.8489597492385341,SCOTUS,0.88
00-1751_FREN_vs_STEV,0.9228463029730983,SCOTUS,0.93
00-1751_FREN_vs_GINS,0.9060101119856796,SCOTUS,0.91
00-1751_FREN_vs_CONN,0.8815280816388869,SCOTUS,0.9
00-1751_FREN_vs_YOUN,0.9041629997915388,SCOTUS,0.94
00-1751_FREN_vs_BREY,0.859820134341985,SCOTUS,0.83
00-1751_FREN_vs_OLSO,0.9067729367951576,SCOTUS,0.92
00-1751_FREN_vs_CHAN,0.880478358263979,SCOTUS,0.89
00-1751_FREN_vs_FRAN,0.878345004323572,SCOTUS,0.89
00-1751_SOUT_vs_SCAL,0.9016515538258109,SCOTUS,0.9
00-1751_SOUT_vs_KENN,0.8503218601825544,SCOTUS,0.85
00-1751_SOUT_vs_STEV,0.8496638461425587,SCOTUS,0.89
00-1751_SOUT_vs_GINS,0.8876078248343846,SCOTUS,0.92
00-1751_SOUT_vs_CONN,0.8793373086126574,SCOTUS,0.89
00-1751_SOUT_vs_YOUN,0.7942458227444736,SCOTUS,0.85
00-1751_SOUT_vs_BREY,0.8766714802862063,SCOTUS,0.89
00-1751_SOUT_vs_OLSO,0.8314233937035196,SCOTUS,0.85
00-1751_SOUT_vs_CHAN,0.8614346058230402,SCOTUS,0.9
00-1751_SOUT_vs_FRAN,0.8608592471082525,SCOTUS,0.89
00-1751_SCAL_vs_KENN,0.8639992456486424,SCOTUS,0.89
00-1751_SCAL_vs_STEV,0.8216478068110389,SCOTUS,0.86
00-1751_SCAL_vs_GINS,0.8988894997986419,SCOTUS,0.94
00-1751_SCAL_vs_CONN,0.8876231602096964,SCOTUS,0.89
00-1751_SCAL_vs_YOUN,0.7855567964040918,SCOTUS,0.85
00-1751_SCAL_vs_BREY,0.9081840515117021,SCOTUS,0.87
00-1751_SCAL_vs_OLSO,0.8327176429769101,SCOTUS,0.84
00-1751_SCAL_vs_CHAN,0.8860464286291112,SCOTUS,0.91
00-1751_SCAL_vs_FRAN,0.8900593716342314,SCOTUS,0.88
00-1751_KENN_vs_STEV,0.8440279952833516,SCOTUS,0.84
00-1751_KENN_vs_GINS,0.8643291541020404,SCOTUS,0.88
00-1751_KENN_vs_CONN,0.892367492603246,SCOTUS,0.87
00-1751_KENN_vs_YOUN,0.7924309792446825,SCOTUS,0.85
00-1751_KENN_vs_BREY,0.8986936873684116,SCOTUS,0.85
00-1751_KENN_vs_OLSO,0.7970156435133278,SCOTUS,0.86
00-1751_KENN_vs_CHAN,0.9121971785492621,SCOTUS,0.93
00-1751_KENN_vs_FRAN,0.876534540922452,SCOTUS,0.91
00-1751_STEV_vs_GINS,0.8814528889928417,SCOTUS,0.9
00-1751_STEV_vs_CONN,0.8962755057421586,SCOTUS,0.92
00-1751_STEV_vs_YOUN,0.9159388406231921,SCOTUS,0.93
00-1751_STEV_vs_BREY,0.8543708070864412,SCOTUS,0.86
00-1751_STEV_vs_OLSO,0.8923108267576129,SCOTUS,0.88
00-1751_STEV_vs_CHAN,0.877769792653817,SCOTUS,0.87
00-1751_STEV_vs_FRAN,0.8542529061034763,SCOTUS,0.88
00-1751_GINS_vs_CONN,0.9254924501123615,SCOTUS,0.92
00-1751_GINS_vs_YOUN,0.8662229092820414,SCOTUS,0.87
00-1751_GINS_vs_BREY,0.8855994110572059,SCOTUS,0.89
00-1751_GINS_vs_OLSO,0.8997959163716736,SCOTUS,0.88
