archivo,lsm_model,grupo,lsm_liwc
sw2007-ms98-a.phrases,0.86753612112675,SW_PROCESSED,0.9
sw2018-ms98-a.phrases,0.9128412276466051,SW_PROCESSED,0.92
sw2032-ms98-a.phrases,0.8103649073496038,SW_PROCESSED,0.82
sw2040-ms98-a.phrases,0.8859461902315573,SW_PROCESSED,0.9
sw2056-ms98-a.phrases,0.8402564656037246,SW_PROCESSED,0.85
sw2079-ms98-a.phrases,0.8389260614286234,SW_PROCESSED,0.88
sw2095-ms98-a.phrases,0.8857223020589855,SW_PROCESSED,0.87
sw2118-ms98-a.phrases,0.9284437263384917,SW_PROCESSED,0.91
sw2122-ms98-a.phrases,0.7901906738709316,SW_PROCESSED,0.81
sw2130-ms98-a.phrases,0.8517552521870914,SW_PROCESSED,0.88
sw2131-ms98-a.phrases,0.7459878092746819,SW_PROCESSED,0.74
sw2136-ms98-a.phrases,0.8591997448625486,SW_PROCESSED,0.85
sw2153-ms98-a.phrases,0.9120289047770863,SW_PROCESSED,0.89
sw2155-ms98-a.phrases,0.892227916343711,SW_PROCESSED,0.93
sw2174-ms98-a.phrases,0.8350251980732781,SW_PROCESSED,0.83
sw2185-ms98-a.phrases,0.9196161413502817,SW_PROCESSED,0.9
sw2187-ms98-a.phrases,0.8128993662382471,SW_PROCESSED,0.87
sw2206-ms98-a.phrases,0.9148571578422473,SW_PROCESSED,0.9
sw2224-ms98-a.phrases,0.9243542410485592,SW_PROCESSED,0.92
sw2231-ms98-a.phrases,0.8061415125196337,SW_PROCESSED,0.85
sw2249-ms98-a.phrases,0.847269285682134,SW_PROCESSED,0.9
sw2260-ms98-a.phrases,0.9024419162039183,SW_PROCESSED,0.93
sw2267-ms98-a.phrases,0.9165830082577211,SW_PROCESSED,0.86
sw2309-ms98-a.phrases,0.8967743655195808,SW_PROCESSED,0.93
sw2312-ms98-a.phrases,0.950428494038532,SW_PROCESSED,0.93
sw2319-ms98-a.phrases,0.8762646196457418,SW_PROCESSED,0.89
sw2332-ms98-a.phrases,0.8911075028368194,SW_PROCESSED,0.89
sw2335-ms98-a.phrases,0.8897081124818599,SW_PROCESSED,0.88
sw2347-ms98-a.phrases,0.8560046528423659,SW_PROCESSED,0.88
sw2366-ms98-a.phrases,0.9217380693861543,SW_PROCESSED,0.94
sw2417-ms98-a.phrases,0.8721476729580167,SW_PROCESSED,0.88
sw2418-ms98-a.phrases,0.9004204604373742,SW_PROCESSED,0.93
sw2427-ms98-a.phrases,0.8571058571739626,SW_PROCESSED,0.85
sw2444-ms98-a.phrases,0.9046665129454889,SW_PROCESSED,0.94
sw2445-ms98-a.phrases,0.873451625120804,SW_PROCESSED,0.88
sw2450-ms98-a.phrases,0.8799028314363695,SW_PROCESSED,0.85
sw2459-ms98-a.phrases,0.9444824378499591,SW_PROCESSED,0.96
sw2474-ms98-a.phrases,0.8258297994365482,SW_PROCESSED,0.89
sw2487-ms98-a.phrases,0.9185259899755646,SW_PROCESSED,0.9
sw2491-ms98-a.phrases,0.9316046071216211,SW_PROCESSED,0.94
sw2502-ms98-a.phrases,0.9063266020964198,SW_PROCESSED,0.9
sw2507-ms98-a.phrases,0.9088947255538209,SW_PROCESSED,0.9
sw2514-ms98-a.phrases,0.9251870233356938,SW_PROCESSED,0.91
sw2522-ms98-a.phrases,0.8231710552616521,SW_PROCESSED,0.82
sw2531-ms98-a.phrases,0.8526966106059892,SW_PROCESSED,0.86
sw2533-ms98-a.phrases,0.9448327007044579,SW_PROCESSED,0.96
sw2534-ms98-a.phrases,0.8691113885167587,SW_PROCESSED,0.92
sw2535-ms98-a.phrases,0.8386101084682871,SW_PROCESSED,0.84
sw2536-ms98-a.phrases,0.9259905265280645,SW_PROCESSED,0.89
sw2557-ms98-a.phrases,0.9139327591801718,SW_PROCESSED,0.92
sw2580-ms98-a.phrases,0.8991304302962122,SW_PROCESSED,0.85
sw2582-ms98-a.phrases,0.9193993631629853,SW_PROCESSED,0.93
sw2587-ms98-a.phrases,0.9337181698066908,SW_PROCESSED,0.94
sw2605-ms98-a.phrases,0.8756000423044532,SW_PROCESSED,0.89
sw2619-ms98-a.phrases,0.8565178477633075,SW_PROCESSED,0.86
sw2658-ms98-a.phrases,0.9157894363907986,SW_PROCESSED,0.91
sw2672-ms98-a.phrases,0.886637584658786,SW_PROCESSED,0.89
sw2674-ms98-a.phrases,0.9126417424026492,SW_PROCESSED,0.92
sw2713-ms98-a.phrases,0.8827069114032549,SW_PROCESSED,0.9
sw2714-ms98-a.phrases,0.9526775202392301,SW_PROCESSED,0.93
sw2726-ms98-a.phrases,0.89960242731648,SW_PROCESSED,0.95
sw2733-ms98-a.phrases,0.821071906899447,SW_PROCESSED,0.86
sw2735-ms98-a.phrases,0.8864321562302482,SW_PROCESSED,0.88
sw2753-ms98-a.phrases,0.8760677936427799,SW_PROCESSED,0.85
sw2771-ms98-a.phrases,0.8799230583966682,SW_PROCESSED,0.88
sw2785-ms98-a.phrases,0.8834268537287108,SW_PROCESSED,0.91
sw2800-ms98-a.phrases,0.7936442495781286,SW_PROCESSED,0.82
sw2814-ms98-a.phrases,0.9153551707235456,SW_PROCESSED,0.94
sw2816-ms98-a.phrases,0.9050574780171093,SW_PROCESSED,0.91
sw2818-ms98-a.phrases,0.9197479795578956,SW_PROCESSED,0.92
sw2830-ms98-a.phrases,0.9046472071614728,SW_PROCESSED,0.92
sw2834-ms98-a.phrases,0.8804411467855922,SW_PROCESSED,0.89
sw2835-ms98-a.phrases,0.8978578857802247,SW_PROCESSED,0.9
sw2837-ms98-a.phrases,0.9058165125644284,SW_PROCESSED,0.92
