archivo,lsm_spacy,lsm_liwc,grupo
01-714_REHN_vs_LEE0,0.9033140132285054,0.88,SCOTUS
01-714_REHN_vs_CONN,0.9064050768316949,0.9,SCOTUS
01-714_REHN_vs_KENN,0.8973309039267867,0.92,SCOTUS
01-714_REHN_vs_SOUT,0.9293734268325383,0.87,SCOTUS
01-714_REHN_vs_SCAL,0.879605008549879,0.87,SCOTUS
01-714_REHN_vs_GINS,0.7828587564600832,0.81,SCOTUS
01-714_REHN_vs_BREY,0.9052799568412243,0.91,SCOTUS
01-714_REHN_vs_DELL,0.8852914339467711,0.89,SCOTUS
01-714_REHN_vs_OLSO,0.8350511735751993,0.81,SCOTUS
01-714_LEE0_vs_CONN,0.9264880487291941,0.92,SCOTUS
01-714_LEE0_vs_KENN,0.8732713499047801,0.88,SCOTUS
01-714_LEE0_vs_SOUT,0.9053525491005789,0.9,SCOTUS
01-714_LEE0_vs_SCAL,0.8425931029534597,0.82,SCOTUS
01-714_LEE0_vs_GINS,0.7857265439645,0.82,SCOTUS
01-714_LEE0_vs_BREY,0.8573163549059853,0.84,SCOTUS
01-714_LEE0_vs_DELL,0.9078578800811488,0.92,SCOTUS
01-714_LEE0_vs_OLSO,0.9273023400823648,0.92,SCOTUS
01-714_CONN_vs_KENN,0.9340261003176714,0.94,SCOTUS
01-714_CONN_vs_SOUT,0.9183380883178774,0.94,SCOTUS
01-714_CONN_vs_SCAL,0.8762323740793705,0.85,SCOTUS
01-714_CONN_vs_GINS,0.8501529733683444,0.86,SCOTUS
01-714_CONN_vs_BREY,0.8957997933746648,0.91,SCOTUS
01-714_CONN_vs_DELL,0.9384295938472272,0.96,SCOTUS
01-714_CONN_vs_OLSO,0.8792009514225465,0.87,SCOTUS
01-714_KENN_vs_SOUT,0.9110264281177419,0.93,SCOTUS
01-714_KENN_vs_SCAL,0.9003324636133362,0.86,SCOTUS
01-714_KENN_vs_GINS,0.8567305677679948,0.84,SCOTUS
01-714_KENN_vs_BREY,0.9266614907475395,0.93,SCOTUS
01-714_KENN_vs_DELL,0.9208165079774281,0.93,SCOTUS
01-714_KENN_vs_OLSO,0.816949414408511,0.83,SCOTUS
01-714_SOUT_vs_SCAL,0.862385511791314,0.83,SCOTUS
01-714_SOUT_vs_GINS,0.802932286804575,0.84,SCOTUS
01-714_SOUT_vs_BREY,0.9378680928005092,0.87,SCOTUS
01-714_SOUT_vs_DELL,0.9138812784676613,0.92,SCOTUS
