archivo,lsm_spacy,lsm_liwc,grupo
sw2007-ms98-a.phrases,0.86753612112675,0.9,SW_PROCESSED
sw2018-ms98-a.phrases,0.9128412276466051,0.92,SW_PROCESSED
sw2032-ms98-a.phrases,0.8146429716271864,0.82,SW_PROCESSED
sw2040-ms98-a.phrases,0.8859461902315573,0.9,SW_PROCESSED
sw2056-ms98-a.phrases,0.8402564656037246,0.85,SW_PROCESSED
sw2079-ms98-a.phrases,0.8389260614286234,0.88,SW_PROCESSED
sw2095-ms98-a.phrases,0.8857223020589855,0.87,SW_PROCESSED
sw2118-ms98-a.phrases,0.9284437263384917,0.91,SW_PROCESSED
sw2122-ms98-a.phrases,0.7901906738709316,0.81,SW_PROCESSED
sw2130-ms98-a.phrases,0.8517552521870914,0.88,SW_PROCESSED
sw2131-ms98-a.phrases,0.7459878092746819,0.74,SW_PROCESSED
sw2136-ms98-a.phrases,0.8591997448625486,0.85,SW_PROCESSED
sw2153-ms98-a.phrases,0.9120289047770863,0.89,SW_PROCESSED
sw2155-ms98-a.phrases,0.892227916343711,0.93,SW_PROCESSED
sw2174-ms98-a.phrases,0.8350251980732781,0.83,SW_PROCESSED
sw2185-ms98-a.phrases,0.9196161413502817,0.9,SW_PROCESSED
sw2187-ms98-a.phrases,0.8128993662382471,0.87,SW_PROCESSED
sw2206-ms98-a.phrases,0.9148571578422473,0.9,SW_PROCESSED
sw2224-ms98-a.phrases,0.9243542410485592,0.92,SW_PROCESSED
sw2231-ms98-a.phrases,0.8061415125196337,0.85,SW_PROCESSED
sw2249-ms98-a.phrases,0.847269285682134,0.9,SW_PROCESSED
sw2260-ms98-a.phrases,0.9024419162039183,0.93,SW_PROCESSED
sw2267-ms98-a.phrases,0.9165830082577211,0.86,SW_PROCESSED
sw2309-ms98-a.phrases,0.8967743655195808,0.93,SW_PROCESSED
sw2312-ms98-a.phrases,0.950428494038532,0.93,SW_PROCESSED
sw2319-ms98-a.phrases,0.8762646196457418,0.89,SW_PROCESSED
sw2332-ms98-a.phrases,0.8911075028368194,0.89,SW_PROCESSED
sw2335-ms98-a.phrases,0.8897081124818599,0.88,SW_PROCESSED
sw2347-ms98-a.phrases,0.8560046528423659,0.88,SW_PROCESSED
sw2366-ms98-a.phrases,0.9217380693861543,0.94,SW_PROCESSED
sw2417-ms98-a.phrases,0.8721476729580167,0.88,SW_PROCESSED
sw2418-ms98-a.phrases,0.9004204604373742,0.93,SW_PROCESSED
sw2427-ms98-a.phrases,0.8571058571739626,0.85,SW_PROCESSED
sw2444-ms98-a.phrases,0.9046665129454889,0.94,SW_PROCESSED
sw2445-ms98-a.phrases,0.873451625120804,0.88,SW_PROCESSED
sw2450-ms98-a.phrases,0.8799028314363695,0.85,SW_PROCESSED
sw2459-ms98-a.phrases,0.9444824378499591,0.96,SW_PROCESSED
sw2474-ms98-a.phrases,0.8258297994365482,0.89,SW_PROCESSED
sw2487-ms98-a.phrases,0.9185259899755646,0.9,SW_PROCESSED
sw2491-ms98-a.phrases,0.9316046071216211,0.94,SW_PROCESSED
sw2502-ms98-a.phrases,0.9063266020964198,0.9,SW_PROCESSED
sw2507-ms98-a.phrases,0.9088947255538209,0.9,SW_PROCESSED
sw2514-ms98-a.phrases,0.9251870233356938,0.91,SW_PROCESSED
sw2522-ms98-a.phrases,0.8231710552616521,0.82,SW_PROCESSED
sw2531-ms98-a.phrases,0.8526966106059892,0.86,SW_PROCESSED
sw2533-ms98-a.phrases,0.9448327007044579,0.96,SW_PROCESSED
sw2534-ms98-a.phrases,0.8691113885167587,0.92,SW_PROCESSED
sw2535-ms98-a.phrases,0.8386101084682871,0.84,SW_PROCESSED
sw2536-ms98-a.phrases,0.9259905265280645,0.89,SW_PROCESSED
sw2557-ms98-a.phrases,0.9139327591801718,0.92,SW_PROCESSED
sw2580-ms98-a.phrases,0.8991304302962122,0.85,SW_PROCESSED
sw2582-ms98-a.phrases,0.9193993631629853,0.93,SW_PROCESSED
sw2587-ms98-a.phrases,0.9337181698066908,0.94,SW_PROCESSED
sw2605-ms98-a.phrases,0.8756000423044532,0.89,SW_PROCESSED
sw2619-ms98-a.phrases,0.8565178477633075,0.86,SW_PROCESSED
sw2658-ms98-a.phrases,0.9157894363907986,0.91,SW_PROCESSED
sw2672-ms98-a.phrases,0.886637584658786,0.89,SW_PROCESSED
sw2674-ms98-a.phrases,0.9126417424026492,0.92,SW_PROCESSED
sw2713-ms98-a.phrases,0.8827069114032549,0.9,SW_PROCESSED
sw2714-ms98-a.phrases,0.9526775202392301,0.93,SW_PROCESSED
sw2726-ms98-a.phrases,0.89960242731648,0.95,SW_PROCESSED
sw2733-ms98-a.phrases,0.821071906899447,0.86,SW_PROCESSED
sw2735-ms98-a.phrases,0.8864321562302482,0.88,SW_PROCESSED
sw2753-ms98-a.phrases,0.8760677936427799,0.85,SW_PROCESSED
sw2771-ms98-a.phrases,0.8799230583966682,0.88,SW_PROCESSED
sw2785-ms98-a.phrases,0.8834268537287108,0.91,SW_PROCESSED
sw2800-ms98-a.phrases,0.7936442495781286,0.82,SW_PROCESSED
sw2814-ms98-a.phrases,0.9153551707235456,0.94,SW_PROCESSED
sw2816-ms98-a.phrases,0.9050574780171093,0.91,SW_PROCESSED
sw2818-ms98-a.phrases,0.9197479795578956,0.92,SW_PROCESSED
sw2830-ms98-a.phrases,0.9046472071614728,0.92,SW_PROCESSED
sw2834-ms98-a.phrases,0.8804411467855922,0.89,SW_PROCESSED
sw2835-ms98-a.phrases,0.8978578857802247,0.9,SW_PROCESSED
sw2837-ms98-a.phrases,0.9058165125644284,0.92,SW_PROCESSED
sw2838-ms98-a.phrases,0.8589337712833713,0.86,SW_PROCESSED
sw2860-ms98-a.phrases,0.9174538627295663,0.92,SW_PROCESSED
sw2913-ms98-a.phrases,0.9029094703239013,0.9,SW_PROCESSED
sw2935-ms98-a.phrases,0.8683839130988183,0.87,SW_PROCESSED
