archivo,lsm_spacy,lsm_liwc,grupo
s11.objects.1.06.phrases,0.5222384642181015,0.43,GAMES_CORPUS
s08.objects.1.05.phrases,0.5936903844574635,0.79,GAMES_CORPUS
s05.objects.1.04.phrases,0.7472775143253814,0.6,GAMES_CORPUS
s05.objects.1.13.phrases,0.7353116469035286,0.72,GAMES_CORPUS
s07.objects.1.06.phrases,0.7272563180064946,0.68,GAMES_CORPUS
s03.objects.1.10.phrases,0.678184323468475,0.64,GAMES_CORPUS
s06.objects.1.11.phrases,0.41761122079538227,0.64,GAMES_CORPUS
s03.objects.1.08.phrases,0.6877957714878964,0.75,GAMES_CORPUS
s02.objects.1.01.phrases,0.7594849305920083,0.43,GAMES_CORPUS
s04.objects.1.08.phrases,0.7229468357924436,0.83,GAMES_CORPUS
s09.objects.1.09.phrases,0.5436874715406248,0.39,GAMES_CORPUS
s05.objects.1.11.phrases,0.8283726261426734,0.83,GAMES_CORPUS
